DateTime,Entries,UniqueIPs
1602609614,15039,15039
1602611584,15145,15145
1602613478,15165,15165
1602615398,15187,15187
1602617356,15203,15203
1602619324,15199,15199
1602621167,15204,15204
1602623095,15228,15228
1602624988,15218,15218
1602626914,14877,14877
1602628869,13510,13510
1602630775,13445,13445
1602632728,13425,13425
1602634592,13357,13357
1602636504,13362,13362
1602638467,13355,13355
1602640351,13370,13370
1602642270,13378,13378
1602644261,13353,13353
1602646112,13399,13399
1602648097,13387,13387
1602649997,13399,13399
1602651863,13390,13390
1602653781,13367,13367
1602655736,13347,13347
1602657633,13314,13314
1602659551,13285,13285
1602661513,13240,13240
1602663408,13219,13219
1602665560,13202,13202
1602667505,13236,13236
1602669407,13227,13227
1602671310,13227,13227
1602673392,13273,13273
1602675402,13293,13293
1602677294,13295,13295
1602679216,13269,13269
1602681162,13268,13268
1602683055,13234,13234
1602684972,13224,13224
1602687165,13208,13208
1602689075,13212,13212
1602690983,13231,13231
1602692922,13199,13199
1602694957,13195,13195
1602696766,13179,13179
1602698665,13115,13115
1602700576,13018,13018
1602702527,12970,12970
1602704427,12954,12954
1602706344,12897,12897
1602708282,12875,12875
1602710178,12876,12876
1602712094,12874,12874
1602714045,12857,12857
1602715936,12868,12868
1602717866,12922,12922
1602719805,12957,12957
1602722066,12973,12973
1602724201,12957,12957
1602726011,12923,12923
1602728208,12891,12891
1602730102,12884,12884
1602732117,12863,12863
1602733961,12855,12855
1602735855,13355,13355
1602737812,13348,13348
1602739693,13325,13325
1602741545,13346,13346
1602743562,13373,13373
1602745467,13346,13346
1602747374,13341,13341
1602749325,13315,13315
1602751217,13285,13285
1602753136,13288,13288
1602755097,13272,13272
1602757219,13252,13252
1602759136,13057,13057
1602761090,12982,12982
1602762977,12986,12986
1602764895,12965,12965
1602766963,12956,12956
1602769005,12915,12915
1602770891,12897,12897
1602772810,13166,13166
1602774765,14657,14657
1602776649,14651,14651
1602778578,14686,14686
1602780522,14741,14741
1602782408,14697,14697
1602784329,14695,14695
1602786285,14708,14708
1602788173,14716,14716
1602790123,14727,14727
1602792041,14766,14766
1602793934,14957,14957
1602795760,15268,15268
1602797774,15805,15805
1602799689,16280,16280
1602801644,16744,16744
1602803539,17135,17135
1602805454,17696,17696
1602807374,18281,18281
1602809291,18841,18841
1602811246,19370,19370
1602813136,19441,19441
1602815056,19433,19433
1602817006,19401,19401
1602818894,19306,19306
1602820893,19307,19307
1602822765,18824,18824
1602824610,18839,18839
1602826574,19066,19066
1602828628,19633,19633
1602830685,19595,19595
1602832572,19629,19629
1602834492,19887,19887
1602836445,19919,19919
1602838333,19938,19938
1602840255,22162,22162
1602842202,26794,26794
1602844093,29279,29279
1602846168,31675,31675
1602848000,33365,33365
1602849860,34952,34952
1602851773,35141,35141
1602853725,35111,35111
1602855616,35124,35124
1602857541,35099,35099
1602859486,35055,35055
1602861382,33999,33999
1602863295,33809,33809
1602865247,33739,33739
1602867147,33708,33708
1602869061,33649,33649
1602871003,33655,33655
1602872894,33611,33611
1602874882,33606,33606
1602876767,33593,33593
1602878657,33548,33548
1602880574,33363,33363
1602882523,33027,33027
1602884419,32501,32501
1602886339,32047,32047
1602888281,31545,31545
1602890179,31138,31138
1602892096,30632,30632
1602894048,29978,29978
1602895934,29464,29464
1602897854,28930,28930
1602899804,28912,28912
1602901698,28906,28906
1602903748,28947,28947
1602905568,28946,28946
1602907455,29101,29101
1602909375,29386,29386
1602911336,29741,29741
1602913218,29912,29912
1602915155,29814,29814
1602917084,30383,30383
1602918975,30753,30753
1602920894,31058,31058
1602922844,31468,31468
1602924738,31926,31926
1602926655,30045,30045
1602928601,25472,25472
1602930492,22966,22966
1602932554,20478,20478
1602934363,18757,18757
1602936255,17138,17138
1602938173,16952,16952
1602940129,16959,16959
1602942047,16945,16945
1602943937,16940,16940
1602945856,16936,16936
1602947802,16911,16911
1602949694,16890,16890
1602951615,16891,16891
1602953566,16892,16892
1602955454,16885,16885
1602957677,16880,16880
1602959537,16883,16883
1602961487,16896,16896
1602963377,16909,16909
1602965298,16922,16922
1602967248,16894,16894
1602969136,16869,16869
1602971053,16879,16879
1602973004,16885,16885
1602974894,16907,16907
1602976812,16944,16944
1602978765,16914,16914
1602980656,16919,16919
1602982581,16907,16907
1602984524,16904,16904
1602986539,16920,16920
1602988340,16889,16889
1602990288,16842,16842
1602992176,16831,16831
1602994096,16495,16495
1602996044,16169,16169
1602997941,15662,15662
1602999855,15036,15036
1603001804,14473,14473
1603003697,13864,13864
1603005856,13288,13288
1603007792,12666,12666
1603009723,12144,12144
1603011736,11647,11647
1603013538,11166,11166
1603015508,11079,11079
1603017374,11070,11070
1603019297,11069,11069
1603021242,11075,11075
1603023135,11013,11013
1603025057,10965,10965
1603027004,10936,10936
1603028891,10928,10928
1603030819,10927,10927
1603032739,10922,10922
1603034658,10936,10936
1603036604,10921,10921
1603038491,10942,10942
1603040544,10940,10940
1603042363,10946,10946
1603044253,10927,10927
1603046170,11262,11262
1603048125,11658,11658
1603050014,11757,11757
1603051933,11817,11817
1603053885,11955,11955
1603055783,12020,12020
1603057698,12281,12281
1603059642,12394,12394
1603061530,12453,12453
1603063455,12417,12417
1603065409,12433,12433
1603067290,12496,12496
1603069309,12583,12583
1603071134,12632,12632
1603073061,12662,12662
1603075001,12677,12677
1603076904,12687,12687
1603078814,12725,12725
1603080732,12801,12801
1603082682,12841,12841
1603084575,12830,12830
1603086738,12852,12852
1603088679,12948,12948
1603090612,12976,12976
1603092495,13003,13003
1603094567,13031,13031
1603096368,13030,13030
1603098287,13064,13064
1603100184,13076,13076
1603102141,13118,13118
1603104047,13131,13131
1603106003,13125,13125
1603107900,13149,13149
1603110060,13167,13167
1603111949,13174,13174
1603113886,13189,13189
1603115838,13207,13207
1603117742,13195,13195
1603119775,13181,13181
1603121590,13316,13316
1603123478,13294,13294
1603125417,13291,13291
1603127341,13352,13352
1603129253,13381,13381
1603131207,13420,13420
1603133112,13403,13403
1603135032,13379,13379
1603136925,13407,13407
1603138880,13437,13437
1603140753,13456,13456
1603142685,13506,13506
1603144637,13510,13510
1603146494,13503,13503
1603148550,13521,13521
1603150364,13563,13563
1603152256,13653,13653
1603154172,13684,13684
1603156123,13705,13705
1603158013,13930,13930
1603159937,14152,14152
1603161883,14576,14576
1603163777,15059,15059
1603165693,15588,15588
1603167614,15874,15874
1603169534,16205,16205
1603171460,16207,16207
1603173374,16242,16242
1603175324,16169,16169
1603177369,16180,16180
1603179379,16171,16171
1603181546,16528,16528
1603183463,16578,16578
1603185406,16581,16581
1603187313,16597,16597
1603189255,16620,16620
