DateTime,Entries,UniqueIPs
1600605181,1480,1519
1600608782,1482,1521
1600612381,1488,1527
1600615981,1489,1528
1600619581,1493,1532
1600623181,1497,1536
1600626781,1499,1538
1600630381,1499,1538
1600633981,1500,1539
1600637582,1502,1541
1600641181,1504,1543
1600644781,1503,1542
1600648381,1504,1543
1600662782,1507,1546
1600669981,1507,1546
1600673582,1508,1547
1600677182,1509,1548
1600684381,1505,1544
1600687981,1507,1546
1600691582,1506,1545
1600695181,1511,1550
1600698781,1514,1553
1600702382,1517,1556
1600705981,1517,1557
1600709581,1519,1559
1600716781,1518,1558
1600720381,1520,1560
1600723982,1520,1560
1600727582,1522,1562
1600731181,1524,1564
1600734781,1523,1563
1600741981,1521,1560
1600745581,1523,1562
1600749181,1522,1561
1600752781,1523,1562
1600756381,1524,1563
1600767181,1525,1564
1600770781,1524,1563
1600774381,1525,1564
1600777982,1526,1565
1600781581,1527,1566
1600785181,1529,1568
1600788781,1530,1569
1600792381,1529,1568
1600795981,1530,1569
1600799582,1531,1570
1600803181,1531,1570
1600806781,1530,1569
1600810381,1530,1569
1600813981,1528,1567
1600817581,1531,1570
1600824782,1531,1570
1600828381,1531,1570
1600831981,1530,1569
1600835582,1529,1568
1600839181,1533,1572
1600842781,1535,1574
1600846382,1535,1574
1600849981,1534,1573
1600853581,1537,1576
1600857182,1539,1578
1600860781,1541,1580
1600867981,1538,1577
1600871581,1534,1573
1600875182,1532,1571
1600878781,1534,1573
1600882382,1533,1572
1600885981,1532,1571
1600889582,1533,1572
1600893181,1532,1571
1600896781,1534,1573
1600900381,1533,1572
1600903982,1534,1573
1600907581,1533,1572
1600911181,1534,1573
1600914781,1536,1575
1600918382,1538,1577
1600921981,1540,1579
1600929182,1541,1580
1600932781,1542,1581
1600936381,1543,1582
1600939981,1544,1583
1600943582,1546,1586
1600947181,1545,1585
1600950781,1549,1589
1600954381,1549,1589
1600957981,1547,1587
1600961582,1548,1588
1600965181,1550,1589
1600975982,1548,1586
1600979581,1542,1580
1600983181,1543,1581
1600986781,1543,1581
1600993982,1542,1580
1600997581,1539,1577
1601001181,1538,1576
1601004781,1538,1576
1601008381,1538,1576
1601019181,1539,1577
1601022782,1537,1575
1601026381,1538,1576
1601029982,1539,1577
1601040782,1542,1580
1601044382,1543,1581
1601047982,1544,1582
1601051581,1545,1583
1601055181,1547,1585
1601062381,1545,1583
1601065981,1542,1580
1601069582,1541,1579
1601080381,1541,1579
1601087582,1540,1578
1601094782,1539,1577
1601098381,1538,1576
1601105584,1536,1574
1601109182,1535,1573
1601112781,1535,1574
1601116382,1535,1574
1601123581,1531,1568
1601127182,1533,1570
1601130781,1531,1568
1601134381,1532,1569
1601137981,1534,1571
1601141582,1535,1572
1601148781,1537,1574
1601155982,1537,1574
1601163181,1537,1574
1601166781,1537,1574
1601170381,1535,1571
1601173982,1536,1572
1601181182,1533,1569
1601188381,1529,1564
1601195582,1528,1563
1601199181,1528,1563
1601206381,1527,1562
1601209981,1523,1557
1601220781,1522,1556
1601224381,1523,1557
1601227981,1522,1556
1601231581,1524,1558
1601238781,1521,1554
1601245981,1518,1551
1601249581,1514,1547
1601253181,1512,1544
1601256781,1512,1545
1601260381,1511,1544
1601263981,1509,1542
1601267582,1507,1540
1601278382,1506,1539
1601281981,1503,1536
1601285582,1501,1534
1601289182,1500,1533
1601296381,1499,1532
1601303581,1493,1526
1601310781,1492,1525
1601314381,1493,1526
1601317982,1485,1518
1601321581,1484,1517
1601325181,1482,1515
1601328781,1483,1516
1601335982,1480,1513
1601339582,1480,1513
1601343181,1480,1513
1601350381,1480,1513
1601353981,1477,1510
1601357581,1476,1509
1601361181,1477,1510
1601364781,1471,1504
1601371982,1468,1501
1601375581,1470,1502
1601379181,1472,1504
1601382781,1470,1502
1601386381,1467,1499
1601389981,1463,1495
1601393581,1464,1496
1601397182,1458,1490
1601404381,1450,1482
1601407981,1445,1477
1601411581,1446,1478
1601415182,1446,1478
1601422381,1447,1479
1601425981,1445,1477
1601436781,1445,1477
1601440381,1445,1477
1601443981,1445,1477
1601454782,1446,1478
1601458381,1447,1479
1601461982,1446,1478
1601469181,1443,1476
1601472781,1445,1478
1601476381,1440,1473
1601483581,1440,1473
1601487181,1441,1473
1601490781,1444,1476
1601494381,1445,1477
1601497981,1439,1471
1601501581,1440,1472
1601505181,1440,1472
1601508781,1441,1473
1601512381,1438,1470
1601519581,1439,1471
1601526781,1438,1470
1601530382,1435,1467
1601533981,1436,1468
1601537581,1435,1467
1601544781,1433,1464
1601551981,1432,1463
1601559181,1434,1465
1601562782,1433,1464
1601566381,1435,1466
1601569981,1433,1464
1601573581,1435,1466
1601577182,1436,1467
1601587982,1430,1461
1601595181,1425,1456
1601602381,1422,1453
1601620382,1421,1452
1601623981,1420,1451
1601627581,1417,1448
1601631181,1418,1449
1601634781,1414,1445
1601641982,1410,1441
1601645581,1411,1442
1601649182,1410,1440
1601652781,1409,1439
1601659981,1407,1437
1601667181,1406,1436
1601674381,1406,1436
1601677981,1405,1435
1601685181,1402,1432
1601692382,1400,1430
1601699581,1399,1429
1601706781,1398,1428
1601717581,1396,1426
1601724781,1395,1425
1601728381,1391,1421
1601731982,1390,1420
1601735581,1387,1417
1601739181,1388,1419
1601742782,1389,1420
1601749982,1387,1418
1601753581,1387,1418
1601767981,1388,1419
1601771581,1387,1418
1601785981,1390,1421
1601803981,1389,1420
1601807581,1389,1421
1601818381,1388,1420
1601821981,1387,1419
1601829182,1386,1418
1601832781,1385,1417
1601850782,1384,1416
1601854382,1383,1415
1601865181,1382,1414
1601872382,1382,1414
1601893981,1380,1412
1601901181,1379,1411
1601904781,1375,1407
1601911982,1371,1403
1601915582,1372,1404
1601919181,1371,1403
1601922781,1371,1403
1601929981,1372,1404
1601937181,1371,1403
1601940781,1370,1402
1601955182,1368,1400
1601969581,1368,1400
1601976781,1367,1399
1601983981,1369,1401
1601991181,1370,1402
1601994782,1371,1403
1602005581,1372,1404
1602016381,1371,1403
1602034381,1371,1403
1602037982,1370,1402
1602048782,1369,1401
1602052381,1372,1404
1602066782,1373,1405
1602073982,1373,1405
1602077581,1374,1406
1602081181,1374,1406
1602084781,1375,1407
1602088381,1377,1409
1602091982,1378,1410
1602095582,1376,1408
1602099181,1375,1407
1602102781,1374,1406
1602106381,1375,1407
1602117182,1376,1409
1602120781,1377,1410
1602124381,1376,1409
1602131581,1379,1412
1602138782,1381,1414
1602142381,1382,1416
1602145981,1383,1417
1602153181,1385,1419
1602156781,1383,1417
1602160382,1386,1420
1602163981,1387,1421
1602167582,1391,1425
1602178382,1390,1424
1602181981,1389,1423
1602189181,1389,1423
1602192781,1388,1421
1602196381,1387,1420
1602199981,1386,1419
1602203581,1387,1420
1602210782,1388,1421
1602217981,1387,1420
1602221581,1388,1421
1602228781,1388,1421
1602232381,1387,1420
1602239582,1389,1422
1602243181,1391,1424
1602246782,1389,1422
